LoanId,MaxDPD
92252213,79
92224560,111
92224561,114
92255266,5
92255269,8
92210380,-5
92218923,-2
92200100,127
92216916,-18
92216964,124
92217008,65
92217017,0
92217028,-1
92245178,84
92245253,-3
92208577,-1
92208614,5
92244524,-26
92244665,-21
92254941,-5
92255071,75
92255271,1
92222577,0
92222651,1
92227385,0
92227441,63
92229845,-17
92229855,-15
92215193,128
92215250,0
92215278,2
92215308,2
92215344,10
92215445,-7
92215454,0
92216127,0
92215741,127
92215773,1
92215888,-8
92215893,127
92215933,127
92216224,3
92216227,-5
92216230,-2
92216237,-6
92216263,3
92216282,8
92254733,1
92254763,-27
92254766,0
92254823,75
92254924,75
92254929,75
92254949,75
92254954,3
92211074,0
92211083,-4
92211146,133
92211184,-2
92221074,0
92221156,119
92221162,-2
92249265,-20
92249268,-12
92249270,0
92249340,82
92249345,-1
92249361,7
92249362,-5
92198264,127
92212779,0
92212810,-3
92212838,0
92248451,7
92248538,0
92248632,48
92216506,126
92216524,6
92216563,124
92216579,0
92216650,30
92216667,126
92225721,-16
92225729,1
92225741,2
92225831,5
92225860,113
92225963,113
92225981,-1
92226053,-1
92250641,-3
92250714,0
92250763,3
92250772,18
92250800,30
92250809,80
92204897,-24
92224547,0
92224558,1
92239240,0
92239475,-19
92206645,13
92238069,-8
92238099,93
92238129,-25
92213703,-10
92216661,0
92216716,126
92210826,131
92210900,-7
92210922,3
92216211,94
92226281,112
92224571,-26
92227509,-28
92212401,-1
92226820,-1
92228595,42
92228597,15
92228677,-8
92228751,0
92228828,6
92228843,3
92228891,109
92235862,3
92249397,-3
92249416,-1
92210460,3
92210542,6
92210696,-7
92210791,4
92224291,7
92224358,1
92224395,-3
92224417,-11
92236861,97
92236863,-3
92237150,94
92237166,0
92237187,0
92237229,96
92237276,8
92237436,93
92237493,94
92237499,94
92237506,0
92237569,97
92237603,94
92237645,0
92252752,1
92252782,-29
92252805,-12
92252833,2
92252985,-6
92253044,1
92253186,2
92253190,78
92246912,-8
92226612,-17
92226626,0
92226634,2
92226652,112
92236464,0
92236468,1
92236469,1
92217019,0
92217025,56
92217044,125
92217051,-21
92225419,48
92225431,-4
92213938,129
92213969,0
92214055,-15
92214070,125
92214125,69
92214142,-1
92214193,-4
92214233,1
92219849,-27
92223528,-7
92223559,-21
92223564,0
92223571,0
92223577,2
92223613,2
92212851,-1
92212869,0
92240081,2
92240095,92
92245017,-14
92245027,4
92245259,-21
92222408,-22
92222415,0
92222463,116
92222464,117
92222470,117
92222506,117
92207209,129
92215626,127
92215630,0
92215664,0
92215700,126
92215708,0
92241652,-27
92241752,-7
92253748,-4
92253756,16
92253782,3
92253794,1
92253810,77
92253858,3
92214183,0
92214435,-1
92214523,129
92236822,1
92235209,100
92235232,-2
92235234,-8
92235296,98
92215703,124
92215724,127
92215743,-1
92226036,0
92226074,-1
92226181,112
92227071,0
92227098,111
92233137,0
92233154,0
92233169,4
92233177,-14
92242428,89
92242459,-3
92242492,87
92242534,89
92242630,-1
92220158,120
92220176,117
92220212,1
92228345,15
92228362,110
92252697,-2
92252748,65
92229724,108
92229796,108
92253982,11
92251278,80
92251340,-11
92251413,-11
92251509,-5
92251550,3
92223243,-11
92223254,-22
92223299,115
92223303,0
92223324,-6
92224499,0
92227760,3
92227816,2
92227874,110
92227895,0
92228070,0
92240586,-10
92137053,100
92235877,-13
92235913,-9
92235942,0
92235999,0
92245436,-1
92254481,0
92254485,76
92200165,129
92239690,-7
92226256,111
92227060,109
92212649,128
92212658,0
92212703,65
92212713,-15
92212750,131
92228847,109
92228875,-1
92228889,-2
92247278,-2
