address,ID,First_Due_Date,First_Payment_Month,DisbursementMonth,DisbursementDate,loanamount,LOANNAME,totaldue,TERM,Paidflag
Lagos,92000814,2021-03-10,2021-03-01,2021-02-01,2021-02-08,20000.0000000000,"Nano Loan - NTB Final",6133.33,3,"not paid"
Rivers,92000832,2021-04-08,2021-04-01,2021-03-01,2021-03-08,17500.0000000000,"Nano Loan - NTB Final",5250.00,3,paidin30
Lagos,92000892,2021-03-08,2021-03-01,2021-02-01,2021-02-08,8700.0000000000,"Nano Loan - NTB Final",2610.00,3,paidin7
Oyo,92000919,2021-03-08,2021-03-01,2021-02-01,2021-02-08,12200.0000000000,"Nano Loan - NTB Final",3660.00,3,paidin7
FCT,92000920,2021-03-08,2021-03-01,2021-03-01,2021-03-04,18100.0000000000,"Nano Loan - NTB Final",724.00,3,paidin7
FCT,92000927,2021-05-27,2021-05-01,2021-05-01,2021-05-11,20000.0000000000,"Nano Loan - NTB Final",3200.00,3,paidin7
Lagos,92000930,2021-03-08,2021-03-01,2021-02-01,2021-02-08,20000.0000000000,"Nano Loan - NTB Final",6133.33,3,paidin7
Lagos,92000957,2021-06-28,2021-06-01,2021-06-01,2021-06-11,20000.0000000000,"Nano Loan - NTB Final",6200.00,3,"not paid"
FCT,92000982,2021-03-08,2021-03-01,2021-02-01,2021-02-08,20000.0000000000,"Nano Loan - NTB Final",6133.33,3,paidin7
Lagos,92000991,2021-04-08,2021-04-01,2021-02-01,2021-02-08,16500.0000000000,"Nano Loan - NTB Final",16500.00,3,paidin7
Rivers,92001010,2021-03-08,2021-03-01,2021-02-01,2021-02-08,7700.0000000000,"Nano Loan - NTB Final",330.00,3,paidin7
FCT,92001024,2021-03-11,2021-03-01,2021-02-01,2021-02-09,12500.0000000000,"Nano Loan - NTB Final",3625.00,3,"not paid"
FCT,92001036,2021-03-10,2021-03-01,2021-02-01,2021-02-08,15000.0000000000,"Nano Loan - NTB Final",4600.00,3,"not paid"
Lagos,92001045,2021-03-08,2021-03-01,2021-02-01,2021-02-08,20000.0000000000,"Nano Loan - NTB Final",6133.33,3,paidin7
Lagos,92001050,2021-03-10,2021-03-01,2021-02-01,2021-02-08,14800.0000000000,"Nano Loan - NTB Final",4440.00,3,"not paid"
FCT,92001106,2021-03-09,2021-03-01,2021-02-01,2021-02-21,10400.0000000000,"Nano Loan - NTB Final",1872.00,3,paidin7
FCT,92001120,2021-03-09,2021-03-01,2021-02-01,2021-02-09,20000.0000000000,"Nano Loan - NTB Final",6066.67,3,paidin7
Lagos,92001128,2021-03-09,2021-03-01,2021-02-01,2021-02-09,20000.0000000000,"Nano Loan - NTB Final",6066.67,3,paidin7
FCT,92001135,2021-06-07,2021-06-01,2021-05-01,2021-05-07,7000.0000000000,"Nano Loan - NTB Final",2100.00,3,paidin7
Lagos,92001147,2021-05-06,2021-05-01,2021-04-01,2021-04-06,10000.0000000000,"Nano Loan - NTB Final",3033.33,3,paidin7
Lagos,92001155,2021-03-09,2021-03-01,2021-02-01,2021-02-20,12000.0000000000,"Nano Loan - NTB Final",2280.00,3,paidin7
Lagos,92001166,2021-03-09,2021-03-01,2021-02-01,2021-02-09,20000.0000000000,"Nano Loan - NTB Final",6066.67,3,paidin7
Lagos,92001185,2021-03-09,2021-03-01,2021-02-01,2021-02-09,20000.0000000000,"Nano Loan - NTB Final",6066.67,3,paidin14
Lagos,92001195,2021-03-09,2021-03-01,2021-02-01,2021-02-15,20000.0000000000,"Nano Loan - NTB Final",6066.67,3,paidin7
Lagos,92001206,2021-03-11,2021-03-01,2021-02-01,2021-02-09,20000.0000000000,"Nano Loan - NTB Final",6066.67,3,"not paid"
Lagos,92001213,2021-03-22,2021-03-01,2021-02-01,2021-02-20,10000.0000000000,"Nano Loan - NTB Final",3033.33,3,"not paid"
Lagos,92001246,2021-04-07,2021-04-01,2021-03-01,2021-03-08,15600.0000000000,"Nano Loan - NTB Final",156.00,3,paidin30
Rivers,92001323,2021-03-09,2021-03-01,2021-02-01,2021-02-09,16400.0000000000,"Nano Loan - NTB Final",4920.00,3,paidin7
Edo,92001325,2021-03-11,2021-03-01,2021-02-01,2021-02-09,14000.0000000000,"Nano Loan - NTB Final",4246.67,3,"not paid"
Lagos,92001335,2021-03-09,2021-03-01,2021-02-01,2021-02-11,20000.0000000000,"Nano Loan - NTB Final",6066.67,3,paidin7
Lagos,92001348,2021-04-07,2021-04-01,2021-03-01,2021-03-08,6700.0000000000,"Nano Loan - NTB Final",67.00,3,paidin7
FCT,92001351,2021-03-09,2021-03-01,2021-02-01,2021-02-09,8600.0000000000,"Nano Loan - NTB Final",2580.00,3,paidin7
Lagos,92001370,2021-04-07,2021-04-01,2021-03-01,2021-03-08,20000.0000000000,"Nano Loan - NTB Final",6066.67,3,"not paid"
Ogun,92001374,2021-04-07,2021-04-01,2021-03-01,2021-03-08,7200.0000000000,"Nano Loan - NTB Final",72.00,3,"not paid"
Lagos,92001383,2021-03-09,2021-03-01,2021-02-01,2021-02-09,16500.0000000000,"Nano Loan - NTB Final",4950.00,3,paidin7
Lagos,92001422,2021-03-09,2021-03-01,2021-02-01,2021-02-09,20000.0000000000,"Nano Loan - NTB Final",6066.60,3,paidin7
Lagos,92001458,2021-03-09,2021-03-01,2021-02-01,2021-02-09,18600.0000000000,"Nano Loan - NTB Final",5580.00,3,paidin7
Edo,92001464,2021-03-09,2021-03-01,2021-02-01,2021-02-09,14700.0000000000,"Nano Loan - NTB Final",4410.00,3,paidin7
Lagos,92001468,2021-03-09,2021-03-01,2021-02-01,2021-02-10,20000.0000000000,"Nano Loan - NTB Final",6066.67,3,paidin7
Rivers,92001493,2021-03-12,2021-03-01,2021-02-01,2021-02-10,17000.0000000000,"Nano Loan - NTB Final",4930.00,3,"not paid"
FCT,92001516,2021-04-07,2021-04-01,2021-03-01,2021-03-08,20000.0000000000,"Nano Loan - NTB Final",6066.67,3,paidin7
Lagos,92001535,2021-03-09,2021-03-01,2021-02-01,2021-02-09,10000.0000000000,"Nano Loan - NTB Final",3033.33,3,paidin7
Lagos,92001544,2021-03-15,2021-03-01,2021-02-01,2021-02-13,11600.0000000000,"Nano Loan - NTB Final",3016.00,3,"not paid"
Kano,92001545,2021-03-11,2021-03-01,2021-02-01,2021-02-09,18000.0000000000,"Nano Loan - NTB Final",5460.00,3,"not paid"
Oyo,92001591,2021-03-10,2021-03-01,2021-03-01,2021-03-08,11300.0000000000,"Nano Loan - NTB Final",226.00,3,paidin7
Kano,92001604,2021-03-10,2021-03-01,2021-02-01,2021-02-10,15000.0000000000,"Nano Loan - NTB Final",4500.00,3,paidin14
Lagos,92001609,2021-03-10,2021-03-01,2021-02-01,2021-02-10,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Oyo,92001613,2021-03-10,2021-03-01,2021-02-01,2021-02-10,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Lagos,92001630,2021-06-14,2021-06-01,2021-06-01,2021-06-10,10000.0000000000,"Nano Loan - NTB Final",400.00,3,paidin7
